CITY;TOTAL
Adamantina;5537,0
Adolfo;1164,0
Aguai;7453,0
Aguas da Prata;1125,0
Aguas de Lindoia;1026,0
Aguas de Santa Barbara;2907,0
Agudos;8067,0
Alambari;4417,0
Alfredo Marcondes;748,0
Altair;822,0
Altinopolis;1481,0
Alto Alegre;526,0
Alvares Florence;1531,0
Alvares Machado;10209,0
Alvaro de Carvalho;875,0
Alvinlandia;357,0
Americana;12204,0
Americo Brasiliense;873,0
Americo de Campos;198,0
Amparo;10607,0
Analandia;744,0
Andradina;4479,0
Angatuba;4152,0
Anhembi;811,0
Anhumas;1381,0
Aparecida;460,0
Aparecida D'Oeste;0,0
Apiai;1746,0
Aracariguama;6019,0
Aracatuba;9077,0
Aracoiaba da Serra;5247,0
Aramina;1019,0
Arandu;1309,0
Arapei;0,0
Araraquara;24294,0
Araras;7483,0
Arco-Iris;1597,0
Arealva;3025,0
Artur Nogueira;6420,0
Assis;7207,0
Atibaia;11161,0
Auriflama;700,0
Avai;2828,0
Avanhandava;2901,0
Avare;8851,0
Bady Bassitt;1536,0
Balsamo;5738,0
Bananal;454,0
Barao de Antonina;1543,0
Barbosa;233,0
Bariri;2154,0
Barra Bonita;1521,0
Barra do Chapeu;523,0
Barra do Turvo;562,0
Barretos;10159,0
Barueri;12439,0
Batatais;6996,0
Bauru;17601,0
Bebedouro;12684,0
Bento de Abreu;3059,0
Bernardino de Campos;2181,0
Bertioga;8927,0
Bilac;1500,0
Birigui;7269,0
Biritiba-Mirim;1309,0
Boa Esperanca do Sul;3993,0
Bocaina;1976,0
Bofete;2802,0
Boituva;8419,0
Bora;567,0
Borborema;3209,0
Borebi;2574,0
Botucatu;8766,0
Braganca Paulista;15681,0
Brauna;517,0
Brejo Alegre;921,0
Brodowski;2187,0
Brotas;6121,0
Buri;2969,0
Buritama;2718,0
Buritizal;1097,0
Cabralia Paulista;745,0
Cabreuva;6307,0
Cacapava;2980,0
Cachoeira Paulista;3058,0
Caconde;907,0
Cafelandia;2623,0
Caiabu;633,0
Caieiras;8962,0
Caiua;1762,0
Cajamar;10620,0
Cajati;3236,0
Cajobi;1538,0
Cajuru;2910,0
Campina do Monte Alegre;54,0
Campinas;28859,0
Campos Novos Paulista;591,0
Campos do Jordao;270,0
Cananeia;1509,0
Candido Mota;3896,0
Capao Bonito;3694,0
Capivari;10036,0
Caraguatatuba;5097,0
Cardoso;1937,0
Casa Branca;9258,0
Cassia dos Coqueiros;428,0
Castilho;3145,0
Catanduva;10193,0
Catigua;3341,0
Cedral;2203,0
Cerqueira Cesar;5837,0
Cerquilho;3649,0
Cesario Lange;7678,0
Charqueada;3570,0
Chavantes;3787,0
Clementina;654,0
Colina;2327,0
Colombia;594,0
Conchal;1796,0
Conchas;3258,0
Cordeiropolis;3351,0
Coroados;832,0
Coronel Macedo;403,0
Corumbatai;9814,0
Cosmopolis;7904,0
Cosmorama;695,0
Cotia;2875,0
Cravinhos;1014,0
Cristais Paulista;4481,0
Cruzalia;811,0
Cruzeiro;6171,0
Cubatao;11905,0
Cunha;1726,0
Descalvado;8252,0
Dirce Reis;57,0
Divinolandia;710,0
Dois Corregos;3004,0
Dolcinopolis;259,0
Dourado;807,0
Dracena;3738,0
Duartina;2442,0
Dumont;5792,0
Echapora;201,0
Eldorado;2087,0
Elias Fausto;8601,0
Embauba;1459,0
Embu das Artes;12152,0
Emilianopolis;1057,0
Engenheiro Coelho;2977,0
Erro;13367,0
Espirito Santo do Pinhal;5911,0
Espirito Santo do Turvo;1002,0
Estrela D'Oeste;597,0
Estrela do Norte;276,0
Euclides da Cunha Paulista;500,0
Fartura;2597,0
Fernando Prestes;1532,0
Fernandopolis;6008,0
Fernao;614,0
Flora Rica;467,0
Florida Paulista;1479,0
Franca;13342,0
Francisco Morato;7703,0
Galia;1457,0
Garca;4218,0
Gastao Vidigal;1381,0
Gaviao Peixoto;3276,0
General Salgado;1864,0
Getulina;2163,0
Glicerio;5538,0
Guaicara;809,0
Guaimbe;371,0
Guaira;5272,0
Guapiacu;1219,0
Guapiara;769,0
Guara;136,0
Guaracai;0,0
Guaraci;2087,0
Guarani D'Oeste;278,0
Guaranta;3336,0
Guararapes;3692,0
Guararema;7766,0
Guaratingueta;11875,0
Guarei;2992,0
Guariba;1662,0
Guaruja;2994,0
Guarulhos;23419,0
Guatapara;1461,0
Guzolandia;1211,0
Herculandia;1832,0
Holambra;7545,0
Hortolandia;12304,0
Iacanga;1221,0
Iacri;3533,0
Iaras;1444,0
Ibate;7529,0
Ibira;7326,0
Ibirarema;2534,0
Ibitinga;4089,0
Ibiuna;18793,0
Icem;1969,0
Iepe;1114,0
Igaracu do Tiete;548,0
Igarapava;1899,0
Igarata;4811,0
Iguape;4623,0
Ilha Comprida;60,0
Ilha Solteira;599,0
Ilhabela;0,0
Indaiatuba;12416,0
Indiana;3408,0
Inubia Paulista;3485,0
Ipaussu;1447,0
Ipero;9769,0
Ipigua;5165,0
Iporanga;711,0
Ipua;4607,0
Iracemapolis;14589,0
Irapua;1469,0
Itabera;5099,0
Itai;5484,0
Itajobi;2187,0
Itaju;4593,0
Itanhaem;9232,0
Itaoca;200,0
Itapecerica da Serra;7921,0
Itapetininga;17601,0
Itapeva;3976,0
Itapira;8996,0
Itapirapua Paulista;447,0
Itapolis;6200,0
Itaporanga;366,0
Itapui;7407,0
Itapura;1012,0
Itaquaquecetuba;9549,0
Itarare;1578,0
Itariri;1873,0
Itatiba;6587,0
Itatinga;3149,0
Itirapina;4771,0
Itirapua;19,0
Itobi;634,0
Itu;16631,0
Itupeva;18653,0
Ituverava;4455,0
Jaborandi;260,0
Jaboticabal;16205,0
Jacarei;17201,0
Jaci;1589,0
Jacupiranga;2393,0
Jaguariuna;6253,0
Jales;555,0
Jambeiro;435,0
Jardinopolis;12803,0
Jarinu;20168,0
Jau;10114,0
Jeriquara;222,0
Joanopolis;590,0
Joao Ramalho;2895,0
Jose Bonifacio;6693,0
Jumirim;6171,0
Jundiai;20237,0
Junqueiropolis;2762,0
Juquia;2502,0
Juquitiba;2507,0
Lagoinha;195,0
Laranjal Paulista;7930,0
Lavinia;1712,0
Lavrinhas;1103,0
Leme;3073,0
Lencois Paulista;12559,0
Limeira;11428,0
Lins;3817,0
Lorena;469,0
Lourdes;423,0
Louveira;7910,0
Lucelia;1014,0
Lucianopolis;0,0
Luis Antonio;2762,0
Luiziania;637,0
Lupercio;38,0
Lutecia;836,0
Macatuba;4063,0
Macaubal;448,0
Macedonia;247,0
Magda;974,0
Mairinque;14182,0
Mairipora;14548,0
Manduri;2598,0
Maraba Paulista;1576,0
Maracai;2334,0
Mariapolis;668,0
Marilia;12103,0
Martinopolis;1074,0
Matao;8932,0
Mendonca;522,0
Meridiano;1487,0
Microregion of Caraguatatuba;9975,0
Miguelopolis;1084,0
Mineiros do Tiete;682,0
Miracatu;4179,0
Mirandopolis;3900,0
Mirante do Paranapanema;2914,0
Mirassol;18396,0
Mirassolandia;1592,0
Mococa;12035,0
Mogi Guacu;16760,0
Mogi Mirim;15747,0
Mogi das Cruzes;12836,0
Mombuca;3557,0
MoncoEs;226,0
Mongagua;5688,0
Monte Alto;6173,0
Monte Aprazivel;6563,0
Monte Azul Paulista;3247,0
Monte Castelo;173,0
Monte Mor;13535,0
Monteiro Lobato;8333,0
Morro Agudo;5335,0
Morungaba;4034,0
Motuca;1135,0
Municipio de Aracariguama;9844,0
Murutinga do Sul;1538,0
Nantes;407,0
Narandiba;53,0
Natividade da Serra;10585,0
Nazare Paulista;8206,0
Neves Paulista;3558,0
