"","Sigla","Codigo","Munic<U+00ED>pio","1991","2000"
"1","SP",3500105,"Adamantina",23.67,12.448
"2","SP",3500204,"Adolfo",19.65,14.808
"3","SP",3500303,"Agua<U+00ED>",19.339,16.301
"4","SP",3500402,"<U+00C1>guas da Prata",21.61,14.412
"5","SP",3500501,"<U+00C1>guas de Lind<U+00F3>ia",29.009,10.564
"6","SP",3500550,"<U+00C1>guas de Santa B<U+00E1>rbara",25.149,18.297
"7","SP",3500600,"<U+00C1>guas de S<U+00E3>o Pedro",5.834,5.251
"8","SP",3500709,"Agudos",21.251,21.064
"9","SP",3500758,"Alambari",29.931,25.019
"10","SP",3500808,"Alfredo Marcondes",33.856,28.083
"11","SP",3500907,"Altair",17.937,19.934
"12","SP",3501004,"Altin<U+00F3>polis",20.095,14.568
"13","SP",3501103,"Alto Alegre",41.049,21.738
"14","SP",3501152,"Alum<U+00ED>nio",11.759,15.575
"15","SP",3501202,"<U+00C1>lvares Florence",47.456,21.017
"16","SP",3501301,"<U+00C1>lvares Machado",29.028,21.182
"17","SP",3501400,"<U+00C1>lvaro de Carvalho",51.217,23.859
"18","SP",3501509,"Alvinl<U+00E2>ndia",37.463,27.86
"19","SP",3501608,"Americana",4.161,5.64
"20","SP",3501707,"Am<U+00E9>rico Brasiliense",7.637,17.724
"21","SP",3501806,"Am<U+00E9>rico de Campos",35.974,18.377
"22","SP",3501905,"Amparo",9.472,8.432
"23","SP",3502002,"Anal<U+00E2>ndia",20.105,13.493
"24","SP",3502101,"Andradina",21.082,18.192
"25","SP",3502200,"Angatuba",25.946,24.626
"26","SP",3502309,"Anhembi",25.292,25.184
"27","SP",3502408,"Anhumas",38.088,31.8
"28","SP",3502507,"Aparecida",20.763,16.115
"29","SP",3502606,"Aparecida d'Oeste",44.027,23.939
"30","SP",3502705,"Apia<U+00ED>",45.293,47.726
"31","SP",3502754,"Ara<U+00E7>ariguama",37.065,18.332
"32","SP",3502804,"Ara<U+00E7>atuba",10.775,11.328
"33","SP",3502903,"Ara<U+00E7>oiaba da Serra",22.591,13.908
"34","SP",3503000,"Aramina",19.06,18.95
"35","SP",3503109,"Arandu",51.693,24.693
"36","SP",3503158,"Arape<U+00ED>",71.238,42.099
"37","SP",3503208,"Araraquara",7.298,10.512
"38","SP",3503307,"Araras",8.264,8.824
"39","SP",3503356,"Arco-<U+00CD>ris",54.015,32.979
"40","SP",3503406,"Arealva",27.362,18.434
"41","SP",3503505,"Areias",63.964,41.876
"42","SP",3503604,"Arei<U+00F3>polis",14.985,20.647
"43","SP",3503703,"Ariranha",11.981,14.168
"44","SP",3503802,"Artur Nogueira",11.117,14.657
"45","SP",3503901,"Aruj<U+00E1>",19.64,19.079
"46","SP",3503950,"Asp<U+00E1>sia",52.079,26.652
"47","SP",3504008,"Assis",14.594,11.973
"48","SP",3504107,"Atibaia",15.218,10.824
"49","SP",3504206,"Auriflama",25.068,18.683
"50","SP",3504305,"Ava<U+00ED>",42.459,22.978
"51","SP",3504404,"Avanhandava",26.289,24.147
"52","SP",3504503,"Avar<U+00E9>",19.444,16.672
"53","SP",3504602,"Bady Bassitt",14.851,10.516
"54","SP",3504701,"Balbinos",31.241,22.423
"55","SP",3504800,"B<U+00E1>lsamo",20.831,12.178
"56","SP",3504909,"Bananal",53.157,28.672
"57","SP",3505005,"Bar<U+00E3>o de Antonina",59.563,42.902
"58","SP",3505104,"Barbosa",32.412,25.145
"59","SP",3505203,"Bariri",18.411,10.324
"60","SP",3505302,"Barra Bonita",3.482,8.278
"61","SP",3505351,"Barra do Chap<U+00E9>u",76.584,65.471
"62","SP",3505401,"Barra do Turvo",65.056,59.382
"63","SP",3505500,"Barretos",14.989,12.097
"64","SP",3505609,"Barrinha",12.393,20.321
"65","SP",3505708,"Barueri",13.065,17.034
"66","SP",3505807,"Bastos",25.313,17.842
"67","SP",3505906,"Batatais",14.843,9.95
"68","SP",3506003,"Bauru",9.425,10.385
"69","SP",3506102,"Bebedouro",14.818,15.958
"70","SP",3506201,"Bento de Abreu",23.605,17.856
"71","SP",3506300,"Bernardino de Campos",25.788,20.771
"72","SP",3506359,"Bertioga",13.141,12.456
"73","SP",3506409,"Bilac",20.491,11.837
"74","SP",3506508,"Birigui",7.72,8.471
"75","SP",3506607,"Biritiba-Mirim",26.852,25.18
"76","SP",3506706,"Boa Esperan<U+00E7>a do Sul",19.41,25.766
"77","SP",3506805,"Bocaina",7.827,9.404
"78","SP",3506904,"Bofete",29.073,22.676
"79","SP",3507001,"Boituva",12.281,12.607
"80","SP",3507100,"Bom Jesus dos Perd<U+00F5>es",17.434,13.771
"81","SP",3507159,"Bom Sucesso de Itarar<U+00E9>",64.321,51.336
"82","SP",3507209,"Bor<U+00E1>",41.32,25.129
"83","SP",3507308,"Borac<U+00E9>ia",21.537,11.72
"84","SP",3507407,"Borborema",18.945,15.92
"85","SP",3507456,"Borebi",17.182,21.362
"86","SP",3507506,"Botucatu",11.49,13.249
"87","SP",3507605,"Bragan<U+00E7>a Paulista",13.646,12.281
"88","SP",3507704,"Bra<U+00FA>na",32.179,14.055
"89","SP",3507753,"Brejo Alegre",28.18,22.277
"90","SP",3507803,"Brodowski",10.2,9.601
"91","SP",3507902,"Brotas",17.518,13.09
"92","SP",3508009,"Buri",44.695,36.145
