CITY;CLASSES;CLASS
Sete Barras;[[1. 1. 1.]];[1]
Murutinga do Sul;[[1. 1. 1.]];[1]
Guaraci;[[1. 1. 1.]];[1]
Aracariguama;[[2. 2. 2.]];[2]
Iacanga;[[1. 1. 1.]];[1]
Garca;[[1. 1. 2.]];[1]
Tambau;[[1. 1. 1.]];[1]
Barbosa;[[1. 1. 1.]];[1]
Microregion of Caraguatatuba;[[2. 2. 2.]];[2]
Laranjal Paulista;[[2. 2. 1.]];[2]
Pedregulho;[[1. 1. 1.]];[1]
Catigua;[[2. 2. 2.]];[2]
Rio Claro;[[2. 2. 2.]];[2]
Itanhaem;[[1. 1. 2.]];[1]
Arapei;[[1. 1. 1.]];[1]
Santana de Parnaiba;[[3. 3. 3.]];[3]
Santa Maria da Serra;[[1. 1. 1.]];[1]
Palmital;[[1. 1. 1.]];[1]
Magda;[[1. 1. 1.]];[1]
Araras;[[2. 2. 1.]];[2]
Espirito Santo do Pinhal;[[1. 1. 1.]];[1]
Ubirajara;[[1. 1. 1.]];[1]
Gastao Vidigal;[[1. 1. 1.]];[1]
Caiabu;[[1. 1. 1.]];[1]
Coroados;[[1. 1. 1.]];[1]
Sao Paulo;[[3. 3. 3.]];[3]
Sao Luis do Paraitinga;[[1. 1. 1.]];[1]
Barra do Chapeu;[[1. 1. 1.]];[1]
Casa Branca;[[1. 1. 1.]];[1]
Rifaina;[[1. 1. 1.]];[1]
Itapirapua Paulista;[[1. 1. 1.]];[1]
Buri;[[1. 1. 1.]];[1]
Santo Antonio da Alegria;[[1. 1. 1.]];[1]
Sao Simao;[[1. 1. 1.]];[1]
Campinas;[[3. 3. 3.]];[3]
Pereira Barreto;[[1. 1. 1.]];[1]
Artur Nogueira;[[2. 2. 2.]];[2]
Itapeva;[[1. 1. 1.]];[1]
Sao Sebastiao;[[2. 2. 2.]];[2]
Iguape;[[1. 1. 1.]];[1]
Serrana;[[2. 2. 2.]];[2]
Sao Carlos;[[1. 1. 1.]];[1]
Borebi;[[1. 1. 1.]];[1]
Guaira;[[1. 1. 1.]];[1]
Reginopolis;[[1. 1. 1.]];[1]
Sao Joaquim da Barra;[[2. 1. 2.]];[1]
Jose Bonifacio;[[1. 1. 1.]];[1]
Jacupiranga;[[1. 1. 1.]];[1]
Iepe;[[1. 1. 1.]];[1]
Sales;[[1. 1. 1.]];[1]
Pitangueiras;[[1. 1. 1.]];[1]
Araraquara;[[2. 2. 1.]];[2]
Campina do Monte Alegre;[[1. 1. 1.]];[1]
Jaguariuna;[[2. 2. 2.]];[2]
Itabera;[[1. 1. 1.]];[1]
Itaju;[[1. 1. 1.]];[1]
Barra do Turvo;[[1. 1. 1.]];[1]
Morro Agudo;[[1. 1. 1.]];[1]
Nova Campina;[[1. 1. 1.]];[1]
Valentim Gentil;[[2. 2. 2.]];[2]
Ocaucu;[[1. 1. 1.]];[1]
Presidente Epitacio;[[1. 1. 1.]];[1]
Icem;[[1. 1. 1.]];[1]
Itajobi;[[1. 1. 1.]];[1]
Ilha Solteira;[[1. 1. 1.]];[1]
Sao Bernardo do Campo;[[2. 2. 2.]];[2]
Santa Rita D'Oeste;[[1. 1. 1.]];[1]
Limeira;[[3. 2. 2.]];[2]
Fernao;[[1. 1. 1.]];[1]
Riolandia;[[1. 1. 1.]];[1]
Guatapara;[[1. 1. 1.]];[1]
Barretos;[[1. 1. 1.]];[1]
Mirassolandia;[[1. 1. 1.]];[1]
Iracemapolis;[[2. 3. 3.]];[3]
Gaviao Peixoto;[[1. 1. 1.]];[1]
Bebedouro;[[2. 2. 1.]];[2]
Lins;[[1. 1. 1.]];[1]
Pontes Gestal;[[1. 1. 1.]];[1]
Juquitiba;[[1. 1. 1.]];[1]
Igaracu do Tiete;[[1. 1. 1.]];[1]
Pompeia;[[1. 1. 1.]];[1]
Santo Antonio do Aracangua;[[1. 1. 1.]];[1]
Boa Esperanca do Sul;[[1. 1. 1.]];[1]
Guzolandia;[[1. 1. 1.]];[1]
Taruma;[[1. 1. 2.]];[1]
Sao Jose do Rio Pardo;[[1. 1. 1.]];[1]
Castilho;[[1. 1. 1.]];[1]
Bernardino de Campos;[[1. 1. 1.]];[1]
Bilac;[[1. 1. 1.]];[1]
Tiete;[[1. 1. 2.]];[1]
Getulina;[[1. 1. 1.]];[1]
Ibira;[[1. 1. 2.]];[1]
Santos;[[2. 2. 2.]];[2]
Teodoro Sampaio;[[1. 1. 1.]];[1]
Macaubal;[[1. 1. 1.]];[1]
Cruzalia;[[1. 1. 1.]];[1]
Taquarituba;[[1. 1. 1.]];[1]
Piratininga;[[1. 1. 2.]];[1]
Presidente Bernardes;[[1. 1. 1.]];[1]
Cunha;[[1. 1. 1.]];[1]
Andradina;[[1. 1. 1.]];[1]
Erro;[[1. 1. 1.]];[1]
Balsamo;[[2. 2. 2.]];[2]
Promissao;[[1. 1. 2.]];[1]
Guararema;[[1. 2. 2.]];[1]
Caconde;[[1. 1. 1.]];[1]
Sao Jose do Barreiro;[[1. 1. 1.]];[1]
Guaruja;[[2. 2. 2.]];[2]
Nova Granada;[[1. 1. 1.]];[1]
Santa Cruz do Rio Pardo;[[1. 1. 1.]];[1]
Lourdes;[[1. 1. 1.]];[1]
Lagoinha;[[1. 1. 1.]];[1]
Itobi;[[1. 1. 1.]];[1]
Santo Anastacio;[[1. 1. 1.]];[1]
Sao Lourenco da Serra;[[1. 2. 2.]];[1]
Palestina;[[1. 1. 1.]];[1]
Coronel Macedo;[[1. 1. 1.]];[1]
Sao Francisco;[[1. 1. 1.]];[1]
Joao Ramalho;[[1. 1. 1.]];[1]
Guaratingueta;[[2. 1. 2.]];[1]
Itai;[[1. 1. 1.]];[1]
Fartura;[[1. 1. 1.]];[1]
Alvares Florence;[[1. 1. 1.]];[1]
Ubatuba;[[1. 1. 1.]];[1]
Osvaldo Cruz;[[1. 1. 1.]];[1]
Bauru;[[2. 2. 2.]];[2]
Ribeirao Pires;[[2. 2. 2.]];[2]
Manduri;[[1. 1. 1.]];[1]
Ilha Comprida;[[1. 1. 1.]];[1]
Holambra;[[3. 3. 3.]];[3]
Itarare;[[1. 1. 1.]];[1]
Batatais;[[1. 1. 1.]];[1]
Pardinho;[[1. 1. 1.]];[1]
Guara;[[1. 1. 1.]];[1]
Alambari;[[2. 2. 2.]];[2]
Pindamonhangaba;[[1. 2. 1.]];[1]
Borborema;[[1. 1. 1.]];[1]
Americana;[[3. 3. 3.]];[3]
Mirante do Paranapanema;[[1. 1. 1.]];[1]
Alvinlandia;[[1. 1. 1.]];[1]
Capao Bonito;[[1. 1. 1.]];[1]
Jardinopolis;[[2. 1. 2.]];[1]
Tapiratiba;[[1. 1. 1.]];[1]
Ibitinga;[[1. 1. 1.]];[1]
Santa Barbara d'Oeste;[[3. 2. 2.]];[2]
Ribeirao Bonito;[[1. 1. 1.]];[1]
Itapira;[[2. 2. 1.]];[2]
Meridiano;[[1. 1. 1.]];[1]
Analandia;[[1. 1. 1.]];[1]
Junqueiropolis;[[1. 1. 1.]];[1]
Pirangi;[[1. 2. 2.]];[1]
Redencao da Serra;[[1. 1. 1.]];[1]
Patrocinio Paulista;[[1. 1. 1.]];[1]
Itaquaquecetuba;[[3. 3. 3.]];[3]
Bofete;[[1. 1. 1.]];[1]
Itapolis;[[1. 1. 1.]];[1]
Lencois Paulista;[[1. 1. 1.]];[1]
Apiai;[[1. 1. 1.]];[1]
Mogi Mirim;[[2. 2. 2.]];[2]
Monte Mor;[[3. 2. 2.]];[2]
Maraba Paulista;[[1. 1. 1.]];[1]
Corumbatai;[[2. 2. 1.]];[2]
Martinopolis;[[1. 1. 1.]];[1]
Sorocaba;[[2. 2. 3.]];[2]
Novo Horizonte;[[1. 1. 1.]];[1]
Mococa;[[1. 1. 2.]];[1]
Itu;[[2. 2. 2.]];[2]
Capivari;[[2. 2. 1.]];[2]
Marilia;[[1. 1. 1.]];[1]
Ubarana;[[1. 1. 1.]];[1]
MoncoEs;[[1. 1. 1.]];[1]
Charqueada;[[2. 2. 2.]];[2]
Ibirarema;[[1. 1. 1.]];[1]
Nhandeara;[[1. 1. 1.]];[1]
Maracai;[[1. 1. 1.]];[1]
Florida Paulista;[[1. 1. 1.]];[1]
Santa Cruz das Palmeiras;[[1. 1. 1.]];[1]
Tupa;[[1. 1. 1.]];[1]
Ituverava;[[1. 1. 1.]];[1]
Jaborandi;[[1. 1. 1.]];[1]
Botucatu;[[1. 1. 1.]];[1]
Taubate;[[1. 1. 1.]];[1]
Piquerobi;[[1. 1. 1.]];[1]
Brotas;[[1. 1. 1.]];[1]
Miracatu;[[1. 1. 1.]];[1]
Itirapina;[[1. 1. 1.]];[1]
Arealva;[[1. 1. 1.]];[1]
Miguelopolis;[[1. 1. 1.]];[1]
Sabino;[[1. 1. 1.]];[1]
Aracatuba;[[1. 1. 2.]];[1]
Ipua;[[2. 2. 1.]];[2]
Cananeia;[[1. 1. 1.]];[1]
Presidente Venceslau;[[1. 1. 1.]];[1]
Mogi Guacu;[[1. 1. 1.]];[1]
Itapetininga;[[1. 1. 1.]];[1]
Arco-Iris;[[1. 1. 1.]];[1]
Cachoeira Paulista;[[1. 1. 2.]];[1]
Divinolandia;[[1. 1. 1.]];[1]
Vista Alegre do Alto;[[1. 1. 1.]];[1]
Sao Roque;[[3. 3. 3.]];[3]
Franca;[[1. 1. 3.]];[1]
Assis;[[1. 1. 1.]];[1]
Flora Rica;[[1. 1. 1.]];[1]
Colombia;[[1. 1. 1.]];[1]
