"","City","UF Code","Microregion","Mesoregion","Coordinates"
"1","31","3500105","35035","3508","list(c(-50.993014558, -50.9655904169999, -50.9669850449999, -50.978395129, -51.0342733689999, -51.039575347, -51.077352145, -51.092277913, -51.130541674, -51.177310667, -51.162110404, -51.110274739, -51.080197498, -51.080129469, -51.1053980099999, -51.108685254, -51.099732536, -51.0826242489999, -51.0865293699999, -51.05875572, -51.025851651, -50.993014558, -21.437107034, -21.4838270499999, -21.5425169339999, -21.5908443869999, -21.649708356, -21.7047677959999, -21.722687858, -21.7658100899999, -21.7379659499999, 
-21.6924282809999, -21.661331434, -21.646931023, -21.614895071, -21.5912397729999, -21.5636741709999, -21.5293396869999, -21.484436307, -21.4500041909999, -21.4309532889999, -21.398550927, -21.425607708, -21.437107034))"
"2","33","3500204","35004","3501","list(c(-49.572434065, -49.5839214929999, -49.5875270239999, -49.628421805, -49.678637834, -49.696995188, -49.7277927489999, -49.7460949059999, -49.711117857, -49.725940179, -49.681040583, -49.683966491, -49.609501052, -49.6124937449999, -49.572434065, -21.2711088369999, -21.304329122, -21.3621501119999, -21.354433736, -21.353010468, -21.362677404, -21.344924791, -21.2967902239999, -21.288199424, -21.255563014, -21.2228387929999, -21.2040658719999, -21.208263372, -21.26135864, -21.2711088369999))"
"3","60","3500303","35029","3507","list(c(-46.93972554, -46.9313583009999, -46.902508172, -46.861195602, -46.892066008, -46.874850352, -46.893289736, -46.9370493069999, -47.017190855, -47.046205932, -47.100476408, -47.148287567, -47.1658264119999, -47.197488915, -47.233771017, -47.2016975939999, -47.21621085, -47.195489118, -47.158369665, -47.107122977, -47.037806217, -46.982156177, -46.93972554, -21.978092589, -22.01107946, -22.0065056999999, -22.0504266299999, -22.086022505, -22.113137793, -22.1300589869999, -22.146408677, -22.1145605529999, 
-22.11564228, -22.067324986, -22.109215181, -22.093140762, -22.0987168739999, -22.056663401, -22.034193123, -21.9759778379999, -21.973734851, -21.983847274, -21.9757170899999, -21.990585692, -21.9676876939999, -21.978092589))"
"4","63","3500402","35030","3507","list(c(-46.690714492, -46.666005808, -46.647536461, -46.6737784649999, -46.644208148, -46.617908636, -46.649920062, -46.7021893309999, -46.734871267, -46.731958134, -46.7581074729999, -46.75051502, -46.721043998, -46.690714492, -21.8376349019999, -21.8483888659999, -21.880460834, -21.91105269, -21.9745547479999, -21.995027643, -22.0095482319999, -21.9780699999999, -21.9303031919999, -21.874186481, -21.847300345, -21.8341713149999, -21.820744927, -21.8376349019999))"
"5","65","3500501","35033","3507","list(c(-46.549864844, -46.585317464, -46.5989739299999, -46.628078638, -46.658259088, -46.616302753, -46.55481395, -46.549864844, -22.4695489499999, -22.492924081, -22.515011187, -22.5101396219999, -22.473108101, -22.438634158, -22.446649975, -22.4695489499999))"
"6","66","3500550","35022","3504","list(c(-49.182991221, -49.173544761, -49.178058436, -49.209843705, -49.1720786509999, -49.1721452529999, -49.2160519999999, -49.22203782, -49.2458842939999, -49.2563486769999, -49.303675501, -49.292189956, -49.308786326, -49.36958605, -49.3781279579999, -49.3682748319999, -49.375890851, -49.347203537, -49.3250205579999, -49.280330877, -49.248935627, -49.227528247, -49.199304446, -49.182991221, -22.7241776399999, -22.771723734, -22.837661157, -22.870188503, -22.908461522, -22.9397060549999, -22.9773719999999, 
-23.0364807079999, -23.0125257469999, -22.9755203299999, -22.952736639, -22.929469328, -22.897816183, -22.883432453, -22.8575903519999, -22.820218691, -22.777451874, -22.7826545259999, -22.764258356, -22.772261837, -22.749430209, -22.760098908, -22.724548074, -22.7241776399999))"
"7","67","3500600","35028","3506","list(c(-47.862973, -47.864009, -47.881076, -47.8741709999999, -47.862973, -22.601469, -22.6101919999999, -22.6018159999999, -22.591824, -22.601469))"
"8","74","3500709","35020","3504","list(c(-48.861045856, -48.9321126, -48.962851045, -49.002122108, -49.0003649559999, -49.016283636, -49.054608372, -49.0761910689999, -49.095332817, -49.151505406, -49.1655873829999, -49.182991221, -49.199304446, -49.227528247, -49.248935627, -49.280330877, -49.3250205579999, -49.347203537, -49.375890851, -49.379812208, -49.3713343649999, -49.33968973, -49.351007029, -49.3141998049999, -49.2756629479999, -49.238860765, -49.1791790729999, -49.15257481, -49.1509859069999, -49.0989456139999, -49.0812138159999, 
-49.06612303, -49.0799071229999, -49.062790774, -48.9964309489999, -48.9760954549999, -48.93415899, -48.911527942, -48.9147124319999, -48.880836269, -48.854691889, -48.861045856, -22.484074703, -22.530097886, -22.5299432099999, -22.5468450609999, -22.577059715, -22.630451116, -22.6523218049999, -22.6458078759999, -22.6668908139999, -22.68427522, -22.7192941439999, -22.7241776399999, -22.724548074, -22.760098908, -22.749430209, -22.772261837, -22.764258356, -22.7826545259999, -22.777451874, -22.7339278929999, 
-22.707329853, -22.6659057699999, -22.642557498, -22.633012288, -22.595743273, -22.584752032, -22.578811, -22.5381774439999, -22.51965366, -22.50827393, -22.489354847, -22.442288275, -22.417185199, -22.4019316009999, -22.3839542539999, -22.361358082, -22.34079013, -22.3384090819999, -22.3984517719999, -22.384433574, -22.409142844, -22.484074703))"
"9","90","3500758","35042","3511","list(c(-47.8072143319999, -47.7798516199999, -47.7899797109999, -47.8096835659999, -47.855195656, -47.886091038, -47.9103767679999, -47.932620726, -47.933739578, -47.9530274539999, -47.966709872, -47.840793042, -47.8072143319999, -23.4886961949999, -23.532138715, -23.568066503, -23.586762617, -23.5912957629999, -23.6081945459999, -23.605828785, -23.605414255, -23.561141966, -23.553667936, -23.522058768, -23.5101640299999, -23.4886961949999))"
"10","109","3500808","35036","3508","list(c(-51.392595893, -51.422124109, -51.467712733, -51.4639155529999, -51.4315488399999, -51.421495906, -51.423900674, -51.3865099989999, -51.3261611409999, -51.329812385, -51.3682326279999, -51.392595893, -22.001414618, -22.0004970849999, -21.9587168039999, -21.936872879, -21.9390654489999, -21.920797114, -21.8771844529999, -21.8870622649999, -21.8722435459999, -21.9171102299999, -21.9509556639999, -22.001414618))"
"11","129","3500907","35004","3501","list(c(-49.088959443, -49.086506324, -49.053664656, -49.038887845, -49.010937242, -49.005304665, -49.014695279, -48.99011339, -48.999560445, -49.0148274919999, -49.049971829, -49.081370702, -49.0884285659999, -49.11887157, -49.1306514249999, -49.1583798409999, -49.1757050969999, -49.200145113, -49.2196067749999, -49.17632331, -49.123819531, -49.113621193, -49.088959443, -20.418981296, -20.439132188, -20.4567972419999, -20.488388275, -20.511968485, -20.5350411979999, -20.5698096909999, -20.581728448, 
-20.6243871139999, -20.649811336, -20.6284364919999, -20.6229652179999, -20.6018467, -20.604417591, -20.5945815179999, -20.574146632, -20.545916946, -20.535709906, -20.471894902, -20.474364422, -20.457858002, -20.429027251, -20.418981296))"
"12","136","3501004","35015","3502","list(c(-47.412115242, -47.343499653, -47.327373365, -47.2893934329999, -47.246132038, -47.227359549, -47.240044256, -47.1812761749999, -47.193704082, -47.2469957119999, -47.2538274739999, -47.23208812, -47.2589171719999, -47.2702548089999, -47.308752372, -47.349774466, -47.388701719, -47.428596979, -47.4721598209999, -47.4782836479999, -47.501857303, -47.527762861, -47.540742, -47.582487, -47.6110639999999, -47.628204, -47.558958, -47.518114, -47.5247239999999, -47.5406384939999, -47.503279568, -47.488331763, 
-47.439532057, -47.436491039, -47.406541299, -47.41698908, -47.412115242, -20.8091430859999, -20.83012859, -20.858947918, -20.8366600919999, -20.86457168, -20.856471637, -20.885281697, -20.9538101059999, -20.968830054, -20.986588652, -21.0077185019999, -21.07883326, -21.075377126, -21.0944941339999, -21.101874171, -21.1355234759999, -21.1377746489999, -21.153733206, -21.1833896549999, -21.205332144, -21.207893605, -21.200544823, -21.183322, -21.172674, -21.1817389999999, -21.148317, -21.1076219999999, 
-21.097933, -21.060486, -21.0345534169999, -21.023432026, -20.997741967, -20.960453243, -20.9175157129999, -20.8716131969999, -20.841894946, -20.8091430859999))"
"13","137","3501103","35018","3503","list(c(-50.0608534359999, -50.099875991, -50.107741158, -50.159191241, -50.17255564, -50.209322081, -50.245896245, -50.260201417, -50.300023838, -50.296261629, -50.2742314549999, -50.240161324, -50.1471691089999, -50.144751346, -50.1041357829999, -50.106664317, -50.0608534359999, -21.5839414989999, -21.620577257, -21.6839297679999, -21.6824138059999, -21.6953559319999, -21.6877717699999, -21.696749202, -21.661370011, -21.624664916, -21.57340879, -21.5591676409999, -21.536224341, -21.527748835, -21.551266609, 
-21.557843685, -21.5892815079999, -21.5839414989999))"
"14","163","3501152","35046","3512","list(c(-47.2772746109999, -47.296846715, -47.308119807, -47.303748, -47.3248819999999, -47.316967, -47.2818909659999, -47.252129973, -47.2300061189999, -47.2395750329999, -47.2635004589999, -47.2772746109999, -23.5971894539999, -23.6036543609999, -23.562159724, -23.5253749999999, -23.5042329999999, -23.4634389999999, -23.4764616809999, -23.508376493, -23.513397899, -23.561231726, -23.569914812, -23.5971894539999))"
"15","166","3501202","35003","3501","list(c(-49.8124500709999, -49.84321305, -49.8467383079999, -49.867027744, -49.852486869, -49.8105091479999, -49.803080258, -49.852273652, -49.892509423, -49.937905321, -49.951700262, -50.0075082879999, -50.0018230819999, -50.015807998, -50.013353438, -50.027745242, -49.991942475, -49.942072701, -49.92130571, -49.8808302259999, -49.826719001, -49.8124500709999, -20.1947253029999, -20.212020105, -20.245982183, -20.297010437, -20.3527612999999, -20.366188211, -20.384594845, -20.416651992, -20.3959422629999, 
-20.3913454849999, -20.3598624099999, -20.33181837, -20.278811719, -20.239226087, -20.204492608, -20.1816595939999, -20.1860900149999, -20.174911693, -20.2146067639999, -20.1978985, -20.187232939, -20.1947253029999))"
"16","167","3501301","35036","3508","list(c(-51.467712733, -51.422124109, -51.392595893, -51.4176571039999, -51.41226096, -51.4393403569999, -51.4482510669999, -51.483807983, -51.483947852, -51.4761895359999, -51.51326144, -51.570004189, -51.600233982, -51.6206626389999, -51.605137585, -51.578105504, -51.5647674919999, -51.527614678, -51.474969716, -51.467712733, -21.9587168039999, -22.0004970849999, -22.001414618, -22.0459161759999, -22.0673040299999, -22.0869789129999, -22.11232684, -22.1238580949999, -22.177324287, -22.197797308, 
-22.250600665, -22.2608714909999, -22.281126317, -22.284589132, -22.151898006, -22.1346880039999, -22.106900434, -22.089605487, -21.952260296, -21.9587168039999))"
"17","168","3501400","35038","3509","list(c(-49.695517917, -49.686127015, -49.633629199, -49.645697368, -49.7073786019999, -49.761405886, -49.8247360989999, -49.8495192249999, -49.819753233, -49.768268505, -49.740682421, -49.695517917, -22.044501162, -22.056195595, -22.075969076, -22.1227960099999, -22.141932407, -22.1103919409999, -22.1124503249999, -22.097369898, -22.0643724939999, -22.04671516, -22.0262112369999, -22.044501162))"
"18","169","3501509","35038","3509","list(c(-49.7038156849999, -49.72020972, -49.772001541, -49.81760725, -49.795663932, -49.7733014959999, -49.7354676109999, -49.728995286, -49.703262895, -49.7038156849999, -22.439348606, -22.462162937, -22.500646306, -22.526077195, -22.437710661, -22.430204455, -22.382319985, -22.376559987, -22.422168019, -22.439348606))"
"19","191","3501608","35032","3507","list(c(-47.194211243, -47.2108083809999, -47.2677305, -47.287565389, -47.3512012909999, -47.354859006, -47.388062137, -47.3601419999999, -47.335315, -47.2790551159999, -47.204258957, -47.194211243, -22.729787377, -22.7429461789999, -22.766612999, -22.753682284, -22.7850317639999, -22.734818837, -22.699270471, -22.688303999, -22.7129449989999, -22.663484721, -22.698270706, -22.729787377))"
"20","193","3501707","35024","3505","list(c(-47.9676823729999, -48.027697734, -48.044063076, -48.101962821, -48.144923503, -48.1458313429999, -48.107573368, -48.0368868909999, -47.9437359839999, -47.9097949109999, -47.9227705179999, -47.9676823729999, -21.7416131849999, -21.7404784469999, -21.7581493129999, -21.770412269, -21.7202658849999, -21.7015697969999, -21.7108432159999, -21.6949268069999, -21.689036706, -21.678150613, -21.7203163409999, -21.7416131849999))"
"21","194","3501806","35003","3501","list(c(-49.687333576, -49.6867763509999, -49.6482765059999, -49.6784803319999, -49.693730828, -49.7523029229999, -49.769200046, -49.803080258, -49.8105091479999, -49.852486869, -49.867027744, -49.8467383079999, -49.84321305, -49.8124500709999, -49.7998030169999, -49.825324498, -49.820637841, -49.7634820179999, -49.725343951, -49.726636142, -49.687333576, -20.2013046929999, -20.223465226, -20.2600103099999, -20.282056306, -20.3166616409999, -20.355807061, -20.378075135, -20.384594845, -20.366188211, 
-20.3527612999999, -20.297010437, -20.245982183, -20.212020105, -20.1947253029999, -20.236498495, -20.2658317459999, -20.283374215, -20.2719960379999, -20.228656612, -20.2085826749999, -20.2013046929999))"
"22","198","3501905","35033","3507","list(c(-46.7276795619999, -46.7283313789999, -46.683031436, -46.708057593, -46.7294500639999, -46.755755946, -46.7608793429999, -46.798040359, -46.83713958, -46.835301875, -46.8636235869999, -46.884553587, -46.8874215339999, -46.930706029, -46.8978316989999, -46.8987224259999, -46.863740734, -46.8692787369999, -46.8325229229999, -46.7976887199999, -46.756710429, -46.766252472, -46.7433425909999, -46.7276795619999, -22.654944513, -22.68163723, -22.7370061839999, -22.779496867, -22.8167886269999, -22.824085345, 
-22.8478523919999, -22.834410513, -22.8433917259999, -22.776375978, -22.728096525, -22.715618787, -22.685637675, -22.682118154, -22.656918177, -22.6280121629999, -22.602539275, -22.583941814, -22.578981498, -22.541408377, -22.569473237, -22.604098904, -22.650843574, -22.654944513))"
