"","cities"
"1","ADAMANTINA"
"2","ADOLFO"
"3","AGUAÍ"
"4","ÁGUAS DA PRATA"
"5","ÁGUAS DE LINDÓIA"
"6","ÁGUAS DE SANTA BÁRBARA"
"7","ÁGUAS DE SÃO PEDRO"
"8","AGUDOS"
"9","ALAMBARI"
"10","ALFREDO MARCONDES"
"11","ALTAIR"
"12","ALTINÓPOLIS"
"13","ALTO ALEGRE"
"14","ALUMÍNIO"
"15","ÁLVARES FLORENCE"
"16","ÁLVARES MACHADO"
"17","ÁLVARO DE CARVALHO"
"18","ALVINLÂNDIA"
"19","AMERICANA"
"20","AMÉRICO BRASILIENSE"
"21","AMÉRICO DE CAMPOS"
"22","AMPARO"
"23","ANALÂNDIA"
"24","ANDRADINA"
"25","ANGATUBA"
"26","ANHEMBI"
"27","ANHUMAS"
"28","APARECIDA"
"29","APARECIDA D'OESTE"
"30","APIAÍ"
"31","ARAÇARIGUAMA"
"32","ARAÇATUBA"
"33","ARAÇOIABA DA SERRA"
"34","ARAMINA"
"35","ARANDU"
"36","ARAPEÍ"
"37","ARARAQUARA"
"38","ARARAS"
"39","ARCO-ÍRIS"
"40","AREALVA"
"41","AREIAS"
"42","AREIÓPOLIS"
"43","ARIRANHA"
"44","ARTUR NOGUEIRA"
"45","ARUJÁ"
"46","ASPÁSIA"
"47","ASSIS"
"48","ATIBAIA"
"49","AURIFLAMA"
"50","AVAÍ"
"51","AVANHANDAVA"
"52","AVARÉ"
"53","BADY BASSITT"
"54","BALBINOS"
"55","BÁLSAMO"
"56","BANANAL"
"57","BARÃO DE ANTONINA"
"58","BARBOSA"
"59","BARIRI"
"60","BARRA BONITA"
"61","BARRA DO CHAPÉU"
"62","BARRA DO TURVO"
"63","BARRETOS"
"64","BARRINHA"
"65","BARUERI"
"66","BASTOS"
"67","BATATAIS"
"68","BAURU"
"69","BEBEDOURO"
"70","BENTO DE ABREU"
"71","BERNARDINO DE CAMPOS"
"72","BERTIOGA"
"73","BILAC"
"74","BIRIGUI"
"75","BIRITIBA MIRIM"
"76","BOA ESPERANÇA DO SUL"
"77","BOCAINA"
"78","BOFETE"
"79","BOITUVA"
"80","BOM JESUS DOS PERDÕES"
"81","BOM SUCESSO DE ITARARÉ"
"82","BORÁ"
"83","BORACÉIA"
"84","BORBOREMA"
"85","BOREBI"
"86","BOTUCATU"
"87","BRAGANÇA PAULISTA"
"88","BRAÚNA"
"89","BREJO ALEGRE"
"90","BRODOWSKI"
"91","BROTAS"
"92","BURI"
"93","BURITAMA"
"94","BURITIZAL"
"95","CABRÁLIA PAULISTA"
"96","CABREÚVA"
"97","CAÇAPAVA"
"98","CACHOEIRA PAULISTA"
"99","CACONDE"
"100","CAFELÂNDIA"
"101","CAIABU"
"102","CAIEIRAS"
"103","CAIUÁ"
"104","CAJAMAR"
"105","CAJATI"
"106","CAJOBI"
"107","CAJURU"
"108","CAMPINA DO MONTE ALEGRE"
"109","CAMPINAS"
"110","CAMPO LIMPO PAULISTA"
"111","CAMPOS DO JORDÃO"
"112","CAMPOS NOVOS PAULISTA"
"113","CANANÉIA"
"114","CANAS"
"115","CÂNDIDO MOTA"
"116","CÂNDIDO RODRIGUES"
"117","CANITAR"
"118","CAPÃO BONITO"
"119","CAPELA DO ALTO"
"120","CAPIVARI"
"121","CARAGUATATUBA"
"122","CARAPICUÍBA"
"123","CARDOSO"
"124","CASA BRANCA"
"125","CÁSSIA DOS COQUEIROS"
"126","CASTILHO"
"127","CATANDUVA"
"128","CATIGUÁ"
"129","CEDRAL"
"130","CERQUEIRA CÉSAR"
"131","CERQUILHO"
"132","CESÁRIO LANGE"
"133","CHARQUEADA"
"134","CLEMENTINA"
"135","COLINA"
"136","COLÔMBIA"
"137","CONCHAL"
"138","CONCHAS"
"139","CORDEIRÓPOLIS"
"140","COROADOS"
"141","CORONEL MACEDO"
"142","CORUMBATAÍ"
"143","COSMÓPOLIS"
"144","COSMORAMA"
"145","COTIA"
"146","CRAVINHOS"
"147","CRISTAIS PAULISTA"
"148","CRUZÁLIA"
"149","CRUZEIRO"
"150","CUBATÃO"
"151","CUNHA"
"152","DESCALVADO"
"153","DIADEMA"
"154","DIRCE REIS"
"155","DIVINOLÂNDIA"
"156","DOBRADA"
"157","DOIS CÓRREGOS"
"158","DOLCINÓPOLIS"
"159","DOURADO"
"160","DRACENA"
"161","DUARTINA"
"162","DUMONT"
"163","ECHAPORÃ"
"164","ELDORADO"
"165","ELIAS FAUSTO"
"166","ELISIÁRIO"
"167","EMBAÚBA"
"168","EMBU DAS ARTES"
"169","EMBU-GUAÇU"
"170","EMILIANÓPOLIS"
"171","ENGENHEIRO COELHO"
"172","ESPÍRITO SANTO DO PINHAL"
"173","ESPÍRITO SANTO DO TURVO"
"174","ESTRELA D'OESTE"
"175","ESTRELA DO NORTE"
"176","EUCLIDES DA CUNHA PAULISTA"
"177","FARTURA"
"178","FERNANDÓPOLIS"
"179","FERNANDO PRESTES"
"180","FERNÃO"
"181","FERRAZ DE VASCONCELOS"
"182","FLORA RICA"
"183","FLOREAL"
"184","FLÓRIDA PAULISTA"
"185","FLORÍNEA"
"186","FRANCA"
"187","FRANCISCO MORATO"
"188","FRANCO DA ROCHA"
"189","GABRIEL MONTEIRO"
"190","GÁLIA"
"191","GARÇA"
"192","GASTÃO VIDIGAL"
"193","GAVIÃO PEIXOTO"
"194","GENERAL SALGADO"
"195","GETULINA"
"196","GLICÉRIO"
"197","GUAIÇARA"
"198","GUAIMBÊ"
"199","GUAÍRA"
"200","GUAPIAÇU"
"201","GUAPIARA"
"202","GUARÁ"
"203","GUARAÇAÍ"
"204","GUARACI"
"205","GUARANI D'OESTE"
"206","GUARANTÃ"
"207","GUARARAPES"
"208","GUARAREMA"
"209","GUARATINGUETÁ"
"210","GUAREÍ"
"211","GUARIBA"
"212","GUARUJÁ"
"213","GUARULHOS"
"214","GUATAPARÁ"
"215","GUZOLÂNDIA"
"216","HERCULÂNDIA"
"217","HOLAMBRA"
"218","HORTOLÂNDIA"
"219","IACANGA"
"220","IACRI"
"221","IARAS"
"222","IBATÉ"
"223","IBIRÁ"
"224","IBIRAREMA"
"225","IBITINGA"
"226","IBIÚNA"
"227","ICÉM"
"228","IEPÊ"
"229","IGARAÇU DO TIETÊ"
"230","IGARAPAVA"
"231","IGARATÁ"
"232","IGUAPE"
"233","ILHABELA"
"234","ILHA COMPRIDA"
"235","ILHA SOLTEIRA"
"236","INDAIATUBA"
"237","INDIANA"
"238","INDIAPORÃ"
"239","INÚBIA PAULISTA"
"240","IPAUSSU"
"241","IPERÓ"
"242","IPEÚNA"
"243","IPIGUÁ"
"244","IPORANGA"
"245","IPUÃ"
"246","IRACEMÁPOLIS"
"247","IRAPUÃ"
"248","IRAPURU"
"249","ITABERÁ"
"250","ITAÍ"
"251","ITAJOBI"
"252","ITAJU"
"253","ITANHAÉM"
"254","ITAOCA"
"255","ITAPECERICA DA SERRA"
"256","ITAPETININGA"
"257","ITAPEVA"
"258","ITAPEVI"
"259","ITAPIRA"
"260","ITAPIRAPUÃ PAULISTA"
"261","ITÁPOLIS"
"262","ITAPORANGA"
"263","ITAPUÍ"
"264","ITAPURA"
"265","ITAQUAQUECETUBA"
"266","ITARARÉ"
"267","ITARIRI"
"268","ITATIBA"
"269","ITATINGA"
"270","ITIRAPINA"
"271","ITIRAPUÃ"
"272","ITOBI"
"273","ITU"
"274","ITUPEVA"
"275","ITUVERAVA"
"276","JABORANDI"
"277","JABOTICABAL"
"278","JACAREÍ"
"279","JACI"
"280","JACUPIRANGA"
"281","JAGUARIÚNA"
"282","JALES"
"283","JAMBEIRO"
"284","JANDIRA"
"285","JARDINÓPOLIS"
"286","JARINU"
"287","JAÚ"
"288","JERIQUARA"
"289","JOANÓPOLIS"
"290","JOÃO RAMALHO"
"291","JOSÉ BONIFÁCIO"
"292","JÚLIO MESQUITA"
"293","JUMIRIM"
"294","JUNDIAÍ"
"295","JUNQUEIRÓPOLIS"
"296","JUQUIÁ"
"297","JUQUITIBA"
"298","LAGOINHA"
"299","LARANJAL PAULISTA"
"300","LAVÍNIA"
