CITY;CODE
ADAMANTINA;3500105
ADOLFO;3500204
AGUAS DA PRATA;3500402
AGUAS DE SANTA BARBARA;3500550
AGUAS DE SAO PEDRO;3500600
AGUDOS;3500709
ALAMBARI;3500758
ALFREDO MARCONDES;3500808
ALTAIR;3500907
ALTO ALEGRE;3501103
ALVARES FLORENCE;3501202
ALVARES MACHADO;3501301
ALVARO DE CARVALHO;3501400
ALVINLANDIA;3501509
AMERICANA;3501608
AMPARO;3501905
ANALANDIA;3502002
ANDRADINA;3502101
ANGATUBA;3502200
ANHEMBI;3502309
ANHUMAS;3502408
APARECIDA;3502507
APARECIDA D'OESTE;3502606
ARAMINA;3503000
ARANDU;3503109
ARARAQUARA;3503208
ARARAS;3503307
AREALVA;3503406
AREIAS;3503505
ARIRANHA;3503703
ARTUR NOGUEIRA;3503802
ARUJA;3503901
ASPASIA;3503950
ASSIS;3504008
ATIBAIA;3504107
AURIFLAMA;3504206
AVANHANDAVA;3504404
BADY BASSITT;3504602
BALBINOS;3504701
BALSAMO;3504800
BANANAL;3504909
BARAO DE ANTONINA;3505005
BARBOSA;3505104
BARIRI;3505203
BARRA BONITA;3505302
BARRA DO TURVO;3505401
BARRETOS;3505500
BARRINHA;3505609
BARUERI;3505708
BASTOS;3505807
BATATAIS;3505906
BAURU;3506003
BEBEDOURO;3506102
BENTO DE ABREU;3506201
BERNARDINO DE CAMPOS;3506300
BERTIOGA;3506359
BILAC;3506409
BIRIGUI;3506508
BIRITIBA-MIRIM;3506607
BOCAINA;3506805
BOFETE;3506904
BOITUVA;3507001
BORA;3507209
BORBOREMA;3507407
BOREBI;3507456
BOTUCATU;3507506
BREJO ALEGRE;3507753
BRODOWSKI;3507803
BROTAS;3507902
BURI;3508009
BURITAMA;3508108
BURITIZAL;3508207
CABRALIA PAULISTA;3508306
CACHOEIRA PAULISTA;3508603
CACONDE;3508702
CAFELANDIA;3508801
CAIABU;3508900
CAIEIRAS;3509007
CAIUA;3509106
CAJAMAR;3509205
CAJATI;3509254
CAJOBI;3509304
CAJURU;3509403
CAMPINA DO MONTE ALEGRE;3509452
CAMPINAS;3509502
CAMPO LIMPO PAULISTA;3509601
CAMPOS DO JORDAO;3509700
CAMPOS NOVOS PAULISTA;3509809
CANAS;3509957
CANDIDO MOTA;3510005
CANDIDO RODRIGUES;3510104
CANITAR;3510153
CAPAO BONITO;3510203
CAPELA DO ALTO;3510302
CAPIVARI;3510401
CARAGUATATUBA;3510500
CARDOSO;3510708
CASA BRANCA;3510807
CASSIA DOS COQUEIROS;3510906
CASTILHO;3511003
CATANDUVA;3511102
CATIGUA;3511201
CEDRAL;3511300
CERQUILHO;3511508
CESARIO LANGE;3511607
CHARQUEADA;3511706
CLEMENTINA;3511904
COLINA;3512001
CONCHAL;3512209
CONCHAS;3512308
COROADOS;3512506
CORONEL MACEDO;3512605
COSMORAMA;3512902
COTIA;3513009
CRAVINHOS;3513108
CRISTAIS PAULISTA;3513207
CRUZALIA;3513306
CRUZEIRO;3513405
CUBATAO;3513504
CUNHA;3513603
DESCALVADO;3513702
DIADEMA;3513801
DIRCE REIS;3513850
DIVINOLANDIA;3513900
DOBRADA;3514007
DOURADO;3514304
DRACENA;3514403
DUARTINA;3514502
DUMONT;3514601
ECHAPORA;3514700
ELDORADO;3514809
ELIAS FAUSTO;3514908
ELISIARIO;3514924
ENGENHEIRO COELHO;3515152
ESTRELA D'OESTE;3515202
ESTRELA DO NORTE;3515301
EUCLIDES DA CUNHA PAULISTA;3515350
FARTURA;3515400
FERNANDO PRESTES;3515608
FERNAO;3515657
FERRAZ DE VASCONCELOS;3515707
FLORA RICA;3515806
FLOREAL;3515905
FRANCA;3516200
FRANCISCO MORATO;3516309
FRANCO DA ROCHA;3516408
GABRIEL MONTEIRO;3516507
GALIA;3516606
GASTAO VIDIGAL;3516804
GAVIAO PEIXOTO;3516853
