;CITY;HDI;SCORE
14396;ADAMANTINA;0,79;2
14397;ADOLFO;0,73;2
14398;AGUAÍ;0,715;2
14399;ÁGUAS DA PRATA;0,781;2
14400;ÁGUAS DE LINDÓIA;0,745;2
14401;ÁGUAS DE SANTA BÁRBARA;0,757;2
14402;ÁGUAS DE SÃO PEDRO;0,854;1
14403;AGUDOS;0,745;2
14404;ALAMBARI;0,712;2
14405;ALFREDO MARCONDES;0,741;2
14406;ALTAIR;0,687;3
14407;ALTINÓPOLIS;0,73;2
14408;ALTO ALEGRE;0,7;2
14409;ALUMÍNIO;0,766;2
14410;ÁLVARES FLORENCE;0,728;2
14411;ÁLVARES MACHADO;0,758;2
14412;ÁLVARO DE CARVALHO;0,688;3
14413;ALVINLÂNDIA;0,722;2
14414;AMERICANA;0,811;1
14415;AMÉRICO BRASILIENSE;0,751;2
14416;AMÉRICO DE CAMPOS;0,745;2
14417;AMPARO;0,785;2
14418;ANALÂNDIA;0,754;2
14419;ANDRADINA;0,779;2
14420;ANGATUBA;0,719;2
14421;ANHEMBI;0,721;2
14422;ANHUMAS;0,741;2
14423;APARECIDA;0,755;2
14424;APARECIDA D'OESTE;0,721;2
14425;APIAÍ;0,71;2
14426;ARAÇARIGUAMA;0,704;2
14427;ARAÇATUBA;0,788;2
14428;ARAÇOIABA DA SERRA;0,776;2
14429;ARAMINA;0,74;2
14430;ARANDU;0,685;3
14431;ARAPEÍ;0,68;3
14432;ARARAQUARA;0,815;1
14433;ARARAS;0,781;2
14434;ARCO-ÍRIS;0,722;2
14435;AREALVA;0,744;2
14436;AREIAS;0,697;3
14437;AREIÓPOLIS;0,695;3
14438;ARIRANHA;0,733;2
14439;ARTUR NOGUEIRA;0,749;2
14440;ARUJÁ;0,784;2
14441;ASPÁSIA;0,735;2
14442;ASSIS;0,805;1
14443;ATIBAIA;0,765;2
14444;AURIFLAMA;0,773;2
14445;AVAÍ;0,714;2
14446;AVANHANDAVA;0,705;2
14447;AVARÉ;0,767;2
14448;BADY BASSITT;0,746;2
14449;BALBINOS;0,669;3
14450;BÁLSAMO;0,756;2
14451;BANANAL;0,733;2
14452;BARÃO DE ANTONINA;0,711;2
14453;BARBOSA;0,699;3
14454;BARIRI;0,75;2
14455;BARRA BONITA;0,788;2
14456;BARRA DO CHAPÉU;0,66;3
14457;BARRA DO TURVO;0,641;3
14458;BARRETOS;0,789;2
14459;BARRINHA;0,725;2
14460;BARUERI;0,786;2
14461;BASTOS;0,751;2
14462;BATATAIS;0,761;2
14463;BAURU;0,801;1
14464;BEBEDOURO;0,78;2
14465;BENTO DE ABREU;0,744;2
14466;BERNARDINO DE CAMPOS;0,734;2
14467;BERTIOGA;0,73;2
14468;BILAC;0,768;2
14469;BIRIGUI;0,78;2
14470;BIRITIBA-MIRIM;0,712;2
14471;BOA ESPERANÇA DO SUL;0,681;3
14472;BOCAINA;0,742;2
14473;BOFETE;0,705;2
14474;BOITUVA;0,78;2
14475;BOM JESUS DOS PERDÕES;0,713;2
14476;BOM SUCESSO DE ITARARÉ;0,66;3
14477;BORÁ;0,746;2
14478;BORACÉIA;0,754;2
14479;BORBOREMA;0,73;2
14480;BOREBI;0,705;2
14481;BOTUCATU;0,8;1
14482;BRAGANÇA PAULISTA;0,776;2
14483;BRAÚNA;0,737;2
14484;BREJO ALEGRE;0,71;2
14485;BRODOWSKI;0,755;2
14486;BROTAS;0,74;2
14487;BURI;0,667;3
14488;BURITAMA;0,763;2
14489;BURITIZAL;0,735;2
14490;CABRÁLIA PAULISTA;0,694;3
14491;CABREÚVA;0,738;2
14492;CAÇAPAVA;0,788;2
14493;CACHOEIRA PAULISTA;0,764;2
14494;CACONDE;0,72;2
14495;CAFELÂNDIA;0,742;2
14496;CAIABU;0,729;2
14497;CAIEIRAS;0,781;2
14498;CAIUÁ;0,697;3
14499;CAJAMAR;0,728;2
14500;CAJATI;0,694;3
14501;CAJOBI;0,734;2
14502;CAJURU;0,713;2
14503;CAMPINA DO MONTE ALEGRE;0,717;2
14504;CAMPINAS;0,805;1
14505;CAMPO LIMPO PAULISTA;0,769;2
14506;CAMPOS DO JORDÃO;0,749;2
14507;CAMPOS NOVOS PAULISTA;0,706;2
14508;CANANÉIA;0,72;2
14509;CANAS;0,704;2
14510;CÂNDIDO MOTA;0,747;2
14511;CÂNDIDO RODRIGUES;0,789;2
14512;CANITAR;0,68;3
14513;CAPÃO BONITO;0,721;2
14514;CAPELA DO ALTO;0,699;3
14515;CAPIVARI;0,75;2
14516;CARAGUATATUBA;0,759;2
14517;CARAPICUÍBA;0,749;2
14518;CARDOSO;0,722;2
14519;CASA BRANCA;0,73;2
14520;CÁSSIA DOS COQUEIROS;0,734;2
14521;CASTILHO;0,731;2
14522;CATANDUVA;0,785;2
14523;CATIGUÁ;0,751;2
14524;CEDRAL;0,766;2
14525;CERQUEIRA CÉSAR;0,729;2
14526;CERQUILHO;0,782;2
14527;CESÁRIO LANGE;0,706;2
14528;CHARQUEADA;0,736;2
14529;CLEMENTINA;0,725;2
14530;COLINA;0,757;2
14531;COLÔMBIA;0,71;2
14532;CONCHAL;0,708;2
14533;CONCHAS;0,736;2
14534;CORDEIRÓPOLIS;0,758;2
14535;COROADOS;0,719;2
14536;CORONEL MACEDO;0,69;3
14537;CORUMBATAÍ;0,754;2
14538;COSMÓPOLIS;0,769;2
14539;COSMORAMA;0,722;2
14540;COTIA;0,78;2
14541;CRAVINHOS;0,756;2
14542;CRISTAIS PAULISTA;0,734;2
14543;CRUZÁLIA;0,774;2
14544;CRUZEIRO;0,788;2
14545;CUBATÃO;0,737;2
14546;CUNHA;0,684;3
14547;DESCALVADO;0,76;2
14548;DIADEMA;0,757;2
14549;DIRCE REIS;0,741;2
14550;DIVINOLÂNDIA;0,734;2
14551;DOBRADA;0,718;2
14552;DOIS CÓRREGOS;0,725;2
14553;DOLCINÓPOLIS;0,742;2
14554;DOURADO;0,738;2
14555;DRACENA;0,776;2
14556;DUARTINA;0,748;2
14557;DUMONT;0,744;2
