;CITY;CLASS
0;ADAMANTINA;2
1;ADOLFO;2
2;AGUAI;2
3;AGUAS DA PRATA;2
4;AGUAS DE LINDOIA;1
5;AGUAS DE SANTA BARBARA;2
6;AGUAS DE SAO PEDRO;2
7;AGUDOS;3
8;ALAMBARI;1
9;ALFREDO MARCONDES;1
10;ALTAIR;2
11;ALTINOPOLIS;2
12;ALTO ALEGRE;1
13;ALUMINIO;3
14;ALVARES FLORENCE;2
15;ALVARES MACHADO;1
16;ALVARO DE CARVALHO;1
17;ALVINLANDIA;1
18;AMERICANA;2
19;AMERICO BRASILIENSE;1
20;AMERICO DE CAMPOS;1
21;AMPARO;2
22;ANALANDIA;2
23;ANDRADINA;2
24;ANGATUBA;2
25;ANHEMBI;2
26;ANHUMAS;1
27;APARECIDA;1
28;APARECIDA D'OESTE;1
29;APIAI;2
30;ARACARIGUAMA;3
31;ARACATUBA;2
32;ARACOIABA DA SERRA;1
33;ARAMINA;1
34;ARANDU;1
35;ARAPEI;1
36;ARARAQUARA;2
37;ARARAS;2
38;ARCO-IRIS;1
39;AREALVA;2
40;AREIAS;1
41;AREIOPOLIS;1
42;ARIRANHA;3
43;ARTUR NOGUEIRA;1
44;ARUJA;2
45;ASPASIA;1
46;ASSIS;2
47;ATIBAIA;2
48;AURIFLAMA;1
49;AVAI;2
50;AVANHANDAVA;1
51;AVARE;1
52;BADY BASSITT;2
53;BALBINOS;1
54;BALSAMO;1
55;BANANAL;1
56;BARAO DE ANTONINA;1
57;BARBOSA;1
58;BARIRI;2
59;BARRA BONITA;2
60;BARRA DO CHAPEU;1
61;BARRA DO TURVO;1
62;BARRETOS;2
63;BARRINHA;1
64;BARUERI;3
65;BASTOS;2
66;BATATAIS;2
67;BAURU;2
68;BEBEDOURO;2
69;BENTO DE ABREU;2
70;BERNARDINO DE CAMPOS;1
71;BERTIOGA;2
72;BILAC;1
73;BIRIGUI;2
74;BIRITIBA-MIRIM;1
75;BOA ESPERANCA DO SUL;1
76;BOCAINA;2
77;BOFETE;1
78;BOITUVA;2
79;BOM JESUS DOS PERDOES;1
80;BOM SUCESSO DE ITARARE;1
81;BORA;3
82;BORACEIA;2
83;BORBOREMA;1
84;BOREBI;2
85;BOTUCATU;2
86;BRAGANCA PAULISTA;2
87;BRAUNA;1
88;BREJO ALEGRE;3
89;BRODOWSKI;1
90;BROTAS;2
91;BURI;1
92;BURITAMA;2
93;BURITIZAL;2
94;CABRALIA PAULISTA;2
95;CABREUVA;2
96;CACAPAVA;2
97;CACHOEIRA PAULISTA;1
98;CACONDE;1
99;CAFELANDIA;1
100;CAIABU;1
101;CAIEIRAS;2
102;CAIUA;1
103;CAJAMAR;3
104;CAJATI;2
105;CAJOBI;1
106;CAJURU;1
107;CAMPINA DO MONTE ALEGRE;1
108;CAMPINAS;2
109;CAMPO LIMPO PAULISTA;2
110;CAMPOS DO JORDAO;1
111;CAMPOS NOVOS PAULISTA;2
112;CANANEIA;2
113;CANAS;1
114;CANDIDO MOTA;1
115;CANDIDO RODRIGUES;2
116;CANITAR;2
117;CAPAO BONITO;1
118;CAPELA DO ALTO;1
119;CAPIVARI;2
120;CARAGUATATUBA;1
121;CARAPICUIBA;1
122;CARDOSO;1
123;CASA BRANCA;1
124;CASSIA DOS COQUEIROS;2
125;CASTILHO;2
126;CATANDUVA;2
127;CATIGUA;1
128;CEDRAL;2
129;CERQUEIRA CESAR;2
130;CERQUILHO;2
131;CESARIO LANGE;1
132;CHARQUEADA;2
133;CHAVANTES;1
134;CLEMENTINA;2
135;COLINA;2
136;COLOMBIA;2
137;CONCHAL;1
138;CONCHAS;1
139;CORDEIROPOLIS;3
140;COROADOS;2
141;CORONEL MACEDO;1
142;CORUMBATAI;2
143;COSMOPOLIS;1
144;COSMORAMA;2
145;COTIA;2
146;CRAVINHOS;2
147;CRISTAIS PAULISTA;2
148;CRUZALIA;2
149;CRUZEIRO;2
150;CUBATAO;3
151;CUNHA;1
152;DESCALVADO;2
153;DIADEMA;2
154;DIRCE REIS;1
