;CITY;CLASS
0;SETE BARRAS;1
1;MURUTINGA DO SUL;1
2;GUARACI;1
3;ARACARIGUAMA;3
4;IACANGA;1
5;GARCA;3
6;TAMBAU;1
7;BARBOSA;1
8;MICROREGION OF CARAGUATATUBA;2
9;LARANJAL PAULISTA;3
10;PEDREGULHO;1
11;CATIGUA;3
12;RIO CLARO;3
13;ITANHAEM;1
14;ARAPEI;1
15;SANTANA DE PARNAIBA;2
16;SANTA MARIA DA SERRA;1
17;PALMITAL;1
18;MAGDA;1
19;ARARAS;1
20;ESPIRITO SANTO DO PINHAL;3
21;UBIRAJARA;1
22;GASTAO VIDIGAL;1
23;CAIABU;1
24;COROADOS;1
25;SAO PAULO;2
26;SAO LUIS DO PARAITINGA;1
27;BARRA DO CHAPEU;1
28;CASA BRANCA;1
29;RIFAINA;1
30;ITAPIRAPUA PAULISTA;1
31;BURI;1
32;SANTO ANTONIO DA ALEGRIA;1
33;SAO SIMAO;1
34;CAMPINAS;2
35;PEREIRA BARRETO;1
36;ARTUR NOGUEIRA;2
37;ITAPEVA;1
38;SAO SEBASTIAO;3
39;IGUAPE;1
40;SERRANA;3
41;SAO CARLOS;1
42;BOREBI;3
43;GUAIRA;1
44;REGINOPOLIS;1
45;SAO JOAQUIM DA BARRA;3
46;JOSE BONIFACIO;1
47;JACUPIRANGA;1
48;IEPE;1
49;IGUAPE;1
50;SALES;1
51;PITANGUEIRAS;1
52;ARARAQUARA;3
53;CAMPINA DO MONTE ALEGRE;1
54;JAGUARIUNA;2
55;ITABERA;1
56;ITAJU;1
57;BARRA DO TURVO;1
58;MORRO AGUDO;1
59;NOVA CAMPINA;1
60;VALENTIM GENTIL;3
61;OCAUCU;1
62;PRESIDENTE EPITACIO;1
63;ICEM;1
64;ITAJOBI;1
65;ILHA SOLTEIRA;1
66;SAO BERNARDO DO CAMPO;2
67;SANTA RITA D'OESTE;1
68;LIMEIRA;2
69;FERNAO;1
70;RIOLANDIA;1
71;GUATAPARA;1
72;BARRETOS;1
73;MIRASSOLANDIA;1
74;IRACEMAPOLIS;3
75;GAVIAO PEIXOTO;1
76;BEBEDOURO;3
77;LINS;1
78;PONTES GESTAL;1
79;JUQUITIBA;1
80;IGARACU DO TIETE;1
81;POMPEIA;1
82;SANTO ANTONIO DO ARACANGUA;1
83;BOA ESPERANCA DO SUL;1
84;GUZOLANDIA;1
85;TARUMA;1
86;SANTO ANTONIO DO ARACANGUA;1
87;SAO JOSE DO RIO PARDO;1
88;CASTILHO;1
89;BERNARDINO DE CAMPOS;1
90;BILAC;1
91;TIETE;3
92;GETULINA;1
93;IBIRA;3
94;SANTOS;2
95;TEODORO SAMPAIO;1
96;MACAUBAL;1
97;CRUZALIA;1
98;TAQUARITUBA;1
99;TEODORO SAMPAIO;1
100;BEBEDOURO;3
101;LINS;1
102;PIRATININGA;1
103;PRESIDENTE BERNARDES;3
104;CUNHA;1
105;LINS;1
106;ANDRADINA;1
107;POMPEIA;1
108;ERRO;1
109;BALSAMO;3
110;PROMISSAO;3
111;GUARAREMA;3
112;CACONDE;1
113;SAO JOSE DO BARREIRO;1
114;GUARUJA;3
115;NOVA GRANADA;1
116;SANTA CRUZ DO RIO PARDO;1
117;LOURDES;1
118;LAGOINHA;1
119;ITOBI;1
120;SANTO ANASTACIO;1
121;SAO LOURENCO DA SERRA;1
122;PALESTINA;1
123;RIOLANDIA;1
124;CORONEL MACEDO;1
125;SAO FRANCISCO;1
126;JOAO RAMALHO;1
127;SANTA RITA D'OESTE;1
128;GUARATINGUETA;3
129;ITAI;1
130;FARTURA;1
131;ALVARES FLORENCE;1
132;UBATUBA;1
133;SANTA CRUZ DO RIO PARDO;1
134;SAO LUIS DO PARAITINGA;1
135;IEPE;1
136;OSVALDO CRUZ;1
137;BAURU;3
138;RIBEIRAO PIRES;3
139;MANDURI;3
140;ILHA COMPRIDA;1
141;BOA ESPERANCA DO SUL;1
142;HOLAMBRA;2
143;ITARARE;1
144;SAO CARLOS;1
145;BATATAIS;1
146;PARDINHO;1
147;JOSE BONIFACIO;1
148;GUARA;1
149;ITABERA;1
150;ALAMBARI;3
151;PINDAMONHANGABA;3
152;BORBOREMA;1
153;AMERICANA;2
154;MIRANTE DO PARANAPANEMA;1
155;ALVINLANDIA;1
156;CAPAO BONITO;1
157;JARDINOPOLIS;3
158;TAPIRATIBA;1
159;IBITINGA;1
160;SANTA BARBARA D'OESTE;2
161;BARRETOS;1
162;RIBEIRAO BONITO;1
