CITY;PRICES;PER CAPITA
Adamantina;613066;18139,65
Adolfo;59705;16785,09
Aguaí;554412;17234,90
Águas da Prata;133427;17602,50
Águas de Lindóia;238139;13796,33
Águas de Santa Bárbara;132008;23581,30
Águas de São Pedro;69706;25788,47
Agudos;1753364;50775,06
Alambari;60461;12374,25
Alfredo Marcondes;40646;10446,18
Altair;74439;19517,39
Altinópolis;250190;16028,57
Alto Alegre;58359;14216,65
Alumínio;1591384;94472,19
Álvares Florence;91475;23449,21
Álvares Machado;240514;10232,04
Álvaro de Carvalho;29944;6439,55
Alvinlândia;31039;10346,44
Americana;7097871;33686,94
Américo Brasiliense;450050;13036,61
Américo de Campos;56429;9889,41
Amparo;2448527;37191,31
Analândia;101550;23676,91
Andradina;1372118;24804,64
Angatuba;547118;24632,74
Anhembi;92562;16388,39
Anhumas;40412;10811,05
Aparecida;493935;14095,11
Aparecida d'Oeste;49372;11109,86
Apiaí;425525;16888,58
Araçariguama;1051265;61531,47
Araçatuba;3912515;21542,55
Araçoiaba da Serra;322025;11785,85
Aramina;78475;15237,82
Arandu;68560;11197,17
Arapeí;22658;9092,14
Araraquara;5428146;26006,21
Araras;3242858;27274,29
Arco-Íris;28665;14890,72
Arealva;123548;15754,62
Areias;22942;6212,38
Areiópolis;69005;6521,64
Ariranha;494339;57837,68
Artur Nogueira;561947;12693,63
Arujá;1964058;26251,15
Aspásia;14903;8238,49
Assis;1983695;20846,77
Atibaia;3608859;28502,84
Auriflama;167302;11777,67
Avaí;114947;23179,57
Avanhandava;147308;13023,46
Avaré;1191750;14369,68
Bady Bassitt;228833;15668,16
Balbinos;17578;4470,44
Bálsamo;107931;13226,79
Bananal;119524;11695,13
Barão de Antonina;35558;11411,30
Barbosa;62942;9546,72
Bariri;626661;19829,15
Barra Bonita;847546;24039,78
Barra do Chapéu;25720;4912,10
Barra do Turvo;52389;6778,26
Barretos;2467443;22010,70
Barrinha;251917;8838,26
Barueri;31893775;132528,48
Bastos;468213;22883,19
Batatais;995189;17619,88
Bauru;7921603;23025,31
Bebedouro;1518490;20234,66
Bento de Abreu;105019;39274,11
Bernardino de Campos;112428;10432,26
Bertioga;1104269;23212,59
Bilac;95126;13489,28
Birigui;1777931;16353,00
Biritiba-Mirim;322579;11289,64
Boa Esperança do Sul;118163;8651,54
Bocaina;217934;20063,87
Bofete;112996;12173,62
Boituva;1738503;35976,73
Bom Jesus dos Perdões;242019;12283,38
Bom Sucesso de Itararé;35173;9849,64
Borá;60752;75468,70
Boracéia;100436;23532,27
Borborema;208171;14325,00
Borebi;37201;16209,79
Botucatu;2971328;23328,32
Bragança Paulista;3156171;21519,88
Braúna;52152;10386,76
Brejo Alegre;132887;51646,54
Brodowski;273376;12953,14
Brotas;397062;18399,54
Buri;213610;11505,44
Buritama;263262;17074,97
Buritizal;119253;29408,94
Cabrália Paulista;97581;22355,26
Cabreúva;1457833;35007,89
Caçapava;2662690;31383,36
Cachoeira Paulista;313551;10417,31
Caconde;155337;8380,27
Cafelândia;254228;15303,87
Caiabu;53132;13048,19
Caieiras;2131999;24612,39
Caiuá;55528;11019,64
Cajamar;6028464;94028,73
Cajati;831701;29315,17
Cajobi;92084;9435,81
Cajuru;303709;12991,23
Campina do Monte Alegre;80098;14388,02
Campinas;36616377;33872,72
Campo Limpo Paulista;1195990;16137,17
Campos do Jordão;675442;14123,49
Campos Novos Paulista;80512;17737,86
