;2010;;2011;;2012;;2013 (1);;;;;;
;"A preços correntes
(1 000 R$)";"Per capita
(R$)";"A preços correntes
(1 000 R$)";"Per capita
(R$)";"A preços correntes
(1 000 R$)";"Per capita
(R$)";"A preços correntes
(1 000 R$)";"Per capita
(R$)";;;;;
Adamantina;   613 066;    18139,65;   667 158;    19726,15;   733 214;    21665,16;   774 859;    22168,60;;;;;
Adolfo;   59 705;    16785,09;   66 171;    18650,32;   52 072;    14718,04;   71 789;    19727,55;;;;;
Aguaí;   554 412;    17234,90;   581 088;    17906,09;   575 857;    17586,10;   661 918;    19361,12;;;;;
Águas da Prata;   133 427;    17602,50;   97 359;    12778,43;   110 944;    14496,85;   120 520;    15175,01;;;;;
Águas de Lindóia;   238 139;    13796,33;   280 126;    16141,87;   286 677;    16439,80;   368 952;    20375,06;;;;;
Águas de Santa Bárbara;   132 008;    23581,30;   139 279;    24738,80;   97 202;    17179,63;   113 906;    19384,95;;;;;
Águas de São Pedro;   69 706;    25788,47;   71 498;    25802,17;   82 544;    29146,83;   97 021;    32297,32;;;;;
Agudos;  1 753 364;    50775,06;  1 761 411;    50788,92;  1 937 314;    55617,21;  1 877 202;    51928,14;;;;;
Alambari;   60 461;    12374,25;   60 255;    12101,90;   59 852;    11802,79;   67 900;    12677,37;;;;;
Alfredo Marcondes;   40 646;    10446,18;   42 674;    10925,15;   53 682;    13691,02;   65 414;    16095,95;;;;;
Altair;   74 439;    19517,39;   86 202;    22465,91;   93 227;    24158,25;   95 576;    23834,31;;;;;
Altinópolis;   250 190;    16028,57;   257 773;    16505,95;   279 612;    17892,90;   335 147;    20768,88;;;;;
Alto Alegre;   58 359;    14216,65;   65 808;    16090,01;   80 804;    19814,52;   72 806;    17363,72;;;;;
Alumínio;  1 591 384;    94472,19;  1 741 509;   1 02677,26;  1 693 709;    99169,07;  1 560 349;    87738,91;;;;;
Álvares Florence;   91 475;    23449,21;   95 514;    24712,44;   112 467;    29334,03;   96 657;    24688,89;;;;;
Álvares Machado;   240 514;    10232,04;   273 493;    11599,02;   317 681;    13437,13;   365 571;    14932,22;;;;;
Álvaro de Carvalho;   29 944;    6439,55;   40 705;    8675,31;   37 850;    7998,66;   36 363;    7365,38;;;;;
Alvinlândia;   31 039;    10346,44;   29 615;    9828,94;   34 598;    11437,36;   38 851;    12384,91;;;;;
Americana;  7 097 871;    33686,94;  8 443 694;    39680,69;  8 601 353;    40029,94;  9 890 709;    44046,60;;;;;
Américo Brasiliense;   450 050;    13036,61;   479 194;    13709,27;   531 498;    15008,54;   633 420;    17043,46;;;;;
Américo de Campos;   56 429;    9889,41;   62 048;    10857,09;   63 590;    11111,28;   69 388;    11728,86;;;;;
Amparo;  2 448 527;    37191,31;  2 810 837;    42430,29;  2 966 982;    44516,53;  3 179 686;    45868,35;;;;;
Analândia;   101 550;    23676,91;   117 341;    26987,28;   119 538;    27161,64;   133 532;    28953,12;;;;;
