Código IBGE do Município;Código da Unidade da Federação;Sigla da Unidade da Federação;Nome das Grandes Regiões;Código IBGE da Mesoregião;Nome da Mesoregião;Código IBGE da Microregião;Nome da Microregião;IDHM 1991;IDHM 2000;IDHM 2010
350010;35;SP;Sudeste;3508;Presidente Prudente;35035;Adamantina;0,592;0,721;0,79
350020;35;SP;Sudeste;3501;SÒo JosÚ do Rio Preto;35004;SÒo JosÚ do Rio Preto;0,513;0,667;0,73
350030;35;SP;Sudeste;3507;Campinas;35029;Pirassununga;0,491;0,642;0,715
350040;35;SP;Sudeste;3507;Campinas;35030;SÒo JoÒo da Boa Vista;0,576;0,692;0,781
350050;35;SP;Sudeste;3507;Campinas;35033;Amparo;0,558;0,695;0,745
350055;35;SP;Sudeste;3504;Bauru;35022;AvarÚ;0,559;0,668;0,757
350060;35;SP;Sudeste;3506;Piracicaba;35028;Piracicaba;0,634;0,791;0,854
350070;35;SP;Sudeste;3504;Bauru;35020;Bauru;0,513;0,669;0,745
350075;35;SP;Sudeste;3511;Itapetininga;35042;Itapetininga;0,418;0,572;0,712
350080;35;SP;Sudeste;3508;Presidente Prudente;35036;Presidente Prudente;0,55;0,646;0,741
350090;35;SP;Sudeste;3501;SÒo JosÚ do Rio Preto;35004;SÒo JosÚ do Rio Preto;0,509;0,605;0,687
350100;35;SP;Sudeste;3502;RibeirÒo Preto;35015;Batatais;0,483;0,658;0,73
350110;35;SP;Sudeste;3503;Araþatuba;35018;Birigui;0,48;0,616;0,7
350115;35;SP;Sudeste;3512;Macro Metropolitana Paulista;35046;Sorocaba;0,515;0,682;0,766
350120;35;SP;Sudeste;3501;SÒo JosÚ do Rio Preto;35003;Votuporanga;0,478;0,665;0,728
350130;35;SP;Sudeste;3508;Presidente Prudente;35036;Presidente Prudente;0,538;0,661;0,758
350140;35;SP;Sudeste;3509;MarÝlia;35038;MarÝlia;0,421;0,56;0,688
350150;35;SP;Sudeste;3509;MarÝlia;35038;MarÝlia;0,461;0,555;0,722
350160;35;SP;Sudeste;3507;Campinas;35032;Campinas;0,609;0,735;0,811
350170;35;SP;Sudeste;3505;Araraquara;35024;Araraquara;0,527;0,658;0,751
350180;35;SP;Sudeste;3501;SÒo JosÚ do Rio Preto;35003;Votuporanga;0,489;0,644;0,745
350190;35;SP;Sudeste;3507;Campinas;35033;Amparo;0,578;0,716;0,785
350200;35;SP;Sudeste;3505;Araraquara;35025;SÒo Carlos;0,493;0,685;0,754
350210;35;SP;Sudeste;3503;Araþatuba;35016;Andradina;0,56;0,717;0,779
350220;35;SP;Sudeste;3511;Itapetininga;35042;Itapetininga;0,435;0,612;0,719
350230;35;SP;Sudeste;3504;Bauru;35023;Botucatu;0,477;0,626;0,721
350240;35;SP;Sudeste;3508;Presidente Prudente;35036;Presidente Prudente;0,513;0,585;0,741
350250;35;SP;Sudeste;3513;Vale do ParaÝba Paulista;35051;Guaratinguetß;0,569;0,689;0,755
350260;35;SP;Sudeste;3501;SÒo JosÚ do Rio Preto;35001;Jales;0,468;0,626;0,721
350270;35;SP;Sudeste;3511;Itapetininga;35044;CapÒo Bonito;0,442;0,605;0,71
350275;35;SP;Sudeste;3512;Macro Metropolitana Paulista;35046;Sorocaba;0,426;0,602;0,704
350280;35;SP;Sudeste;3503;Araþatuba;35017;Araþatuba;0,59;0,744;0,788
350290;35;SP;Sudeste;3512;Macro Metropolitana Paulista;35046;Sorocaba;0,494;0,658;0,776
350300;35;SP;Sudeste;3502;RibeirÒo Preto;35011;Ituverava;0,515;0,628;0,74
350310;35;SP;Sudeste;3504;Bauru;35022;AvarÚ;0,397;0,584;0,685
350315;35;SP;Sudeste;3513;Vale do ParaÝba Paulista;35052;Bananal;0,373;0,594;0,68
350320;35;SP;Sudeste;3505;Araraquara;35024;Araraquara;0,607;0,742;0,815
350330;35;SP;Sudeste;3506;Piracicaba;35027;Limeira;0,573;0,71;0,781
350335;35;SP;Sudeste;3509;MarÝlia;35037;TupÒ;0,408;0,636;0,722
350340;35;SP;Sudeste;3504;Bauru;35020;Bauru;0,478;0,662;0,744
350350;35;SP;Sudeste;3513;Vale do ParaÝba Paulista;35052;Bananal;0,418;0,6;0,697
350360;35;SP;Sudeste;3504;Bauru;35020;Bauru;0,433;0,578;0,695
350370;35;SP;Sudeste;3501;SÒo JosÚ do Rio Preto;35005;Catanduva;0,48;0,633;0,733
350380;35;SP;Sudeste;3507;Campinas;35031;Moji Mirim;0,519;0,658;0,749
350390;35;SP;Sudeste;3515;Metropolitana de SÒo Paulo;35059;Guarulhos;0,524;0,67;0,784
